income,credit,approved,split
0.47966747877035354,0.4803722341083576,1,train
0.463179544372248,0.32773755891059797,1,train
0.5405941025165948,0.4899437520339606,1,train
0.2544354269153055,0.860220782950284,0,train
0.8426986400896097,0.5088126151266177,1,train
0.22478736234014748,0.17054614977175037,0,valid
0.7200437616280827,0.6038269503309348,1,train
0.3099162299426114,0.9546921539333735,1,train
0.3458900356299029,0.7944832470782063,1,test
0.6502986566182996,0.42520256910599885,0,test
0.7787708781167867,0.14227104524793552,0,valid
0.2329002680222145,0.7781569387261825,1,train
0.5601323189987538,0.6148981077271438,1,train
0.4277617686231819,0.01963272268826047,0,test
0.1974094526509031,0.7120079191748375,1,train
0.5647063798613247,0.23474598644654898,1,train
0.2785329925115928,0.2807346015484538,0,train
0.524395250788917,0.4724705312931678,1,train
0.2990696858613396,0.5232859596729763,1,train
0.3332363281231969,0.3178854270654675,0,train
0.3363711796602318,0.8527142249705086,1,valid
0.6276637076289305,0.6275872494614468,0,valid
0.3236004291920419,0.237059486503477,0,train
0.5252275748697481,0.746967752011204,1,train
0.2745530431304403,0.6245284895672853,1,train
0.3246291767476718,0.501505137529364,1,train
0.5146405065715693,0.47543949057298857,1,train
0.2807804235184951,0.7472044445564684,1,train
0.3317520661156579,0.39385655077343246,0,train
0.46156700327389677,0.8242109067260606,1,test
0.23700919607557844,0.3890387942610929,1,train
0.3860679231620945,0.5615565946352185,1,valid
0.5164151157936638,0.5422002593926836,1,train
0.013254601489237142,0.4436440608309114,1,train
0.13338402653174947,0.2999444692515913,0,train
0.34496859479950376,0.17824693279831116,0,valid
0.5162935910159355,0.5719637045873606,1,train
0.8939064348637088,0.6889774526479836,1,test
0.32543311480274795,0.9441399211183038,1,train
0.13872975719277872,0.8608509127755605,1,train
0.1310524173674854,0.35549055122080325,0,valid
0.3187350983470701,0.42355377198802496,1,train
0.7876003448321682,0.4423327119151211,1,train
0.16487440791971075,0.40830617221916965,1,train
0.36098850568219026,0.5638432195423855,0,test
0.4792128549042142,0.8190021295750617,1,train
0.26850897022058917,0.30739274692373536,1,train
0.6710400694161562,0.0884003239662089,1,valid
0.6039629158736233,0.7867697099179307,1,train
0.2356700870155251,0.6814465031993873,1,train
0.486882733931742,0.3284690496011501,0,train
0.4994949866889581,0.4024284109370276,1,train
0.39659643518415333,0.08535127073491477,0,valid
0.2898388362377556,0.7089128890118073,1,train
0.6411254049837773,0.5086948224637009,1,train
0.13218598027926576,0.7653329106271858,0,train
0.30216621621554085,0.8365884192642044,1,train
0.6270701037322169,0.4404961693164532,1,train
0.6139690594060465,0.21452273844440914,1,train
0.6996557922733792,0.17291985176445723,0,test
0.1451596620399712,0.25924680366147496,0,train
0.6672212296985317,0.3654680368400537,1,train
0.47341919641099117,0.3918356395080196,1,test
0.430407392031767,0.3583369619457226,0,train
0.34950053863766045,0.7210582412960179,1,train
0.6922949918271426,0.6097977690901039,1,test
0.11469729093382765,0.8300026044618662,1,test
0.20530567622116322,0.5361976910203072,1,test
0.7939057080816319,0.5354226701216962,1,test
0.5741304932588777,0.8105355844239122,1,train
0.7396908674157804,0.8500171757775624,1,train
0.5894765837823436,0.12512713064926345,1,train
0.3360070702029143,0.3403357986855157,1,train
0.7302564570265281,0.20839130859262403,1,train
0.5826096020158997,0.6501594365805009,1,train
0.31782934794945067,0.7072381848310528,1,train
0.46004784214017225,0.40173538013186655,1,train
0.2614030212101712,0.7346410640246601,1,train
1.0,0.42244743989544764,1,train
0.14565919766248198,0.2963603044316895,0,valid
0.09707923613126601,0.5739420064444878,0,valid
0.32383099935241016,0.17067788332541747,1,train
0.5136387527259649,0.8127369293584404,1,valid
0.17265706390853516,0.958803884702721,1,valid
0.19011432430851846,0.7088160668369022,1,train
0.467511039524197,0.7310515108612887,1,train
0.34712684205564653,0.7376142956212232,1,train
0.40784951485233023,0.4464215393316824,1,test
0.6058379453330958,0.7108022107989097,1,train
0.3077992284061801,0.4046091680329816,0,train
0.43458742048882953,0.44145393988032794,0,train
0.27514287794615444,0.6748738251139351,1,train
0.394906402425647,0.4979818398035986,1,train
0.39823700909802484,0.4502876733132266,1,train
0.6256466854915157,0.47527280244042963,1,test
0.5598940721476449,0.7432730568183682,1,train
0.5665015603609616,0.5907817149177355,1,train
0.15665247235516794,0.6871618044473397,1,train
0.38920105102380037,0.20251342432919225,0,valid
0.3435886897435523,0.346633334270858,1,train
0.43361917460228766,0.7047604457393193,1,train
0.8003934232372522,0.716635610412257,1,test
0.2597563115004112,0.46766646127283723,1,train
